id,contract_name,monetary_comp,other_comp,created_by,token,tasks_count,created_at,updated_at,description,status
1,Merch Drop,12993.00,Performance bonus,79,,,2025-04-25 11:43:38 UTC,2025-07-06 16:29:16 UTC,"Merch Drop involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
2,Training Session,7450.00,Performance bonus,86,,,2025-04-13 08:41:12 UTC,2025-06-18 07:16:49 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
3,Autograph Signing,2612.00,Free apparel,76,,,2025-04-04 22:10:41 UTC,2025-04-15 08:25:43 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
4,Autograph Signing,1322.00,Free travel and lodging,20,,,2025-04-19 11:07:33 UTC,2025-05-09 18:09:48 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
5,Podcast Feature,12294.00,Free apparel,56,,,2025-12-07 17:13:51 UTC,2025-12-15 03:13:17 UTC,"Podcast Feature involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
6,Video Shoutout,1526.00,Free apparel,55,,,2025-06-19 22:21:40 UTC,2025-06-25 22:17:57 UTC,"Video Shoutout involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
7,Video Shoutout,5128.00,Gift cards,26,,,2025-12-21 16:17:45 UTC,2025-12-30 16:34:04 UTC,"Video Shoutout involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
8,Product Giveaway,7405.00,Brand gear,97,,,2025-06-11 18:26:17 UTC,2025-08-21 19:38:39 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
9,Product Giveaway,1807.00,Free apparel,25,,,2025-06-11 00:38:31 UTC,2025-11-18 04:28:31 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
10,Training Session,11290.00,Gift cards,77,,,2025-02-24 19:29:13 UTC,2025-09-14 05:26:10 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
11,Video Shoutout,9986.00,Gift cards,58,,,2025-08-23 07:58:13 UTC,2025-09-17 02:14:13 UTC,"Video Shoutout involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
12,Training Session,5975.00,Gift cards,75,,,2025-04-05 02:38:59 UTC,2025-08-16 18:25:14 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
13,Social Media Campaign,5141.00,Free apparel,88,,,2025-05-05 23:16:23 UTC,2025-06-29 10:33:00 UTC,"Social Media Campaign involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
14,Photo Shoot,2371.00,Free apparel,70,,,2025-09-13 09:34:46 UTC,2025-12-13 14:29:00 UTC,"Photo Shoot involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
15,Merch Drop,4234.00,Performance bonus,65,,,2025-05-08 08:05:14 UTC,2025-06-12 00:34:09 UTC,"Merch Drop involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
16,Social Media Campaign,7715.00,Free travel and lodging,47,,,2025-08-06 19:49:36 UTC,2025-09-21 19:52:35 UTC,"Social Media Campaign involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
17,Merch Drop,9921.00,Gift cards,91,,,2025-03-09 14:12:26 UTC,2025-09-15 09:31:36 UTC,"Merch Drop involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
18,Training Session,13697.00,Performance bonus,29,,,2025-11-13 18:11:34 UTC,2025-12-24 20:00:30 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
19,Autograph Signing,1466.00,Brand gear,70,,,2025-06-14 07:19:49 UTC,2025-09-03 13:16:14 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
20,Social Media Campaign,9801.00,Gift cards,72,,,2025-11-09 14:39:08 UTC,2025-11-30 11:31:19 UTC,"Social Media Campaign involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
21,Autograph Signing,10664.00,Brand gear,61,,,2025-03-01 07:29:59 UTC,2025-10-16 18:03:46 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
22,Autograph Signing,1250.00,Free travel and lodging,91,,,2025-11-10 12:46:46 UTC,2025-11-28 16:06:10 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
23,Video Shoutout,6095.00,Free apparel,7,,,2025-03-18 03:07:18 UTC,2025-04-16 12:28:14 UTC,"Video Shoutout involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
24,Social Media Campaign,6126.00,Brand gear,29,,,2025-10-29 22:11:57 UTC,2025-11-02 21:05:33 UTC,"Social Media Campaign involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
25,Autograph Signing,5747.00,Free travel and lodging,69,,,2025-12-11 22:07:59 UTC,2025-12-28 12:50:52 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
26,Product Giveaway,4116.00,Performance bonus,46,,,2025-06-29 11:41:57 UTC,2025-08-13 02:58:39 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
27,Autograph Signing,3485.00,Free travel and lodging,35,,,2025-11-06 19:48:10 UTC,2025-11-21 06:41:07 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
28,Podcast Feature,3912.00,Performance bonus,33,,,2025-05-07 00:41:51 UTC,2025-05-18 22:59:31 UTC,"Podcast Feature involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
29,Product Giveaway,9221.00,Free apparel,79,,,2025-06-18 10:48:46 UTC,2025-12-04 01:03:37 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
30,Product Giveaway,10445.00,Brand gear,35,,,2025-05-16 01:13:18 UTC,2025-12-19 14:32:27 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
31,Product Giveaway,5488.00,Performance bonus,90,,,2025-06-07 12:05:56 UTC,2025-10-20 22:44:29 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
32,Social Media Campaign,3878.00,Gift cards,90,,,2025-02-09 15:10:56 UTC,2025-05-22 14:49:37 UTC,"Social Media Campaign involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
33,Training Session,12503.00,Free travel and lodging,84,,,2025-09-26 16:06:38 UTC,2025-12-19 08:09:55 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
34,Product Giveaway,13074.00,Gift cards,100,,,2025-10-05 16:11:11 UTC,2025-11-18 19:37:53 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
35,Store Appearance,12130.00,Gift cards,76,,,2025-02-23 00:48:26 UTC,2025-03-12 03:24:11 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
36,Training Session,12805.00,Performance bonus,65,,,2025-02-18 03:18:55 UTC,2025-10-24 14:04:35 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
37,Autograph Signing,7078.00,Free travel and lodging,40,,,2025-10-05 23:52:12 UTC,2025-12-16 17:05:42 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
38,Photo Shoot,8364.00,Free travel and lodging,86,,,2025-10-04 08:14:48 UTC,2025-12-25 10:02:50 UTC,"Photo Shoot involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
39,Product Giveaway,7325.00,Brand gear,76,,,2025-04-27 01:15:36 UTC,2025-07-09 05:15:18 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
40,Training Session,7795.00,Gift cards,19,,,2025-10-30 13:58:23 UTC,2025-11-29 18:39:52 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
41,Autograph Signing,12205.00,Brand gear,48,,,2025-08-25 23:56:54 UTC,2025-10-24 04:05:08 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
42,Merch Drop,9583.00,Brand gear,17,,,2025-12-28 10:49:40 UTC,2025-12-29 17:56:32 UTC,"Merch Drop involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
43,Product Giveaway,3952.00,Brand gear,11,,,2025-08-23 04:07:32 UTC,2025-12-26 15:48:41 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
44,Autograph Signing,7111.00,Brand gear,27,,,2025-04-24 13:13:01 UTC,2025-09-09 19:44:19 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
45,Store Appearance,5204.00,Brand gear,25,,,2025-11-24 18:42:51 UTC,2025-11-29 08:29:40 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
46,Store Appearance,14460.00,Gift cards,11,,,2025-11-17 02:05:54 UTC,2025-11-18 23:25:21 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
47,Pop-Up Event,5720.00,Gift cards,1,,,2025-10-04 04:38:33 UTC,2025-12-20 03:23:04 UTC,"Pop-Up Event involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
48,Merch Drop,6099.00,Free travel and lodging,63,,,2025-01-20 23:53:32 UTC,2025-10-03 21:34:58 UTC,"Merch Drop involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
49,Training Session,5582.00,Free travel and lodging,16,,,2025-04-18 08:01:58 UTC,2025-07-06 13:40:28 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
50,Store Appearance,3212.00,Performance bonus,58,,,2025-06-01 07:00:51 UTC,2025-08-28 14:31:35 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
51,Photo Shoot,4570.00,Brand gear,66,,,2025-04-24 15:40:20 UTC,2025-08-03 01:45:44 UTC,"Photo Shoot involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
52,Video Shoutout,7699.00,Gift cards,87,,,2025-03-09 15:44:47 UTC,2025-09-19 08:05:28 UTC,"Video Shoutout involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
53,Store Appearance,10446.00,Free apparel,73,,,2025-09-25 01:49:41 UTC,2025-12-19 19:21:46 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
54,Merch Drop,5129.00,Gift cards,77,,,2025-03-31 01:00:40 UTC,2025-04-08 22:44:44 UTC,"Merch Drop involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
55,Autograph Signing,14882.00,Performance bonus,35,,,2025-06-20 00:48:48 UTC,2025-12-19 11:42:29 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
56,Podcast Feature,3690.00,Free travel and lodging,53,,,2025-06-19 07:29:08 UTC,2025-12-14 16:32:29 UTC,"Podcast Feature involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
57,Podcast Feature,2597.00,Brand gear,41,,,2025-08-20 19:28:30 UTC,2025-09-28 16:12:09 UTC,"Podcast Feature involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
58,Merch Drop,11699.00,Free travel and lodging,15,,,2025-03-11 11:03:26 UTC,2025-12-10 20:05:52 UTC,"Merch Drop involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
59,Podcast Feature,1238.00,Free apparel,74,,,2025-06-21 02:27:42 UTC,2025-09-22 20:24:06 UTC,"Podcast Feature involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
60,Photo Shoot,14153.00,Gift cards,86,,,2025-05-12 10:04:02 UTC,2025-12-24 14:41:39 UTC,"Photo Shoot involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
61,Training Session,10666.00,Free apparel,44,,,2025-12-16 18:15:05 UTC,2025-12-21 02:48:07 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
62,Pop-Up Event,9119.00,Gift cards,63,,,2025-07-10 06:20:21 UTC,2025-10-20 23:24:25 UTC,"Pop-Up Event involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
63,Pop-Up Event,9454.00,Performance bonus,50,,,2025-12-26 10:59:52 UTC,2025-12-28 15:24:01 UTC,"Pop-Up Event involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
64,Merch Drop,13545.00,Gift cards,94,,,2025-05-20 11:30:28 UTC,2025-06-12 15:03:38 UTC,"Merch Drop involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
65,Video Shoutout,9622.00,Performance bonus,69,,,2025-04-03 02:08:21 UTC,2025-11-25 08:53:44 UTC,"Video Shoutout involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
66,Autograph Signing,6726.00,Performance bonus,31,,,2025-04-06 07:10:20 UTC,2025-04-23 19:34:12 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
67,Training Session,11411.00,Performance bonus,73,,,2025-06-21 11:45:43 UTC,2025-07-13 22:46:37 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
68,Video Shoutout,2542.00,Free apparel,80,,,2025-11-24 11:35:02 UTC,2025-12-18 03:17:08 UTC,"Video Shoutout involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
69,Photo Shoot,2296.00,Free travel and lodging,69,,,2025-10-17 13:21:34 UTC,2025-11-17 14:14:58 UTC,"Photo Shoot involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
70,Store Appearance,1972.00,Gift cards,55,,,2025-07-16 10:35:36 UTC,2025-10-08 03:58:06 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
71,Training Session,1640.00,Brand gear,53,,,2025-06-17 02:02:41 UTC,2025-07-09 04:52:45 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
72,Autograph Signing,14920.00,Gift cards,39,,,2025-10-30 09:37:27 UTC,2025-12-27 07:29:56 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
73,Pop-Up Event,14384.00,Gift cards,28,,,2025-04-16 05:02:50 UTC,2025-12-02 18:46:23 UTC,"Pop-Up Event involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
74,Store Appearance,11421.00,Performance bonus,96,,,2025-07-12 11:56:23 UTC,2025-10-05 22:36:33 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
75,Product Giveaway,6156.00,Free apparel,81,,,2025-01-09 23:33:08 UTC,2025-08-15 04:49:39 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
76,Product Giveaway,1758.00,Performance bonus,68,,,2025-03-07 17:36:03 UTC,2025-08-15 14:53:58 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
77,Pop-Up Event,2403.00,Free travel and lodging,19,,,2025-11-29 18:16:09 UTC,2025-12-28 08:23:36 UTC,"Pop-Up Event involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
78,Video Shoutout,4679.00,Free apparel,82,,,2025-08-02 19:55:10 UTC,2025-10-26 16:10:58 UTC,"Video Shoutout involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
79,Store Appearance,11515.00,Free travel and lodging,79,,,2025-07-25 05:15:38 UTC,2025-09-20 13:37:13 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
80,Merch Drop,2595.00,Free travel and lodging,65,,,2025-03-31 05:18:49 UTC,2025-04-26 14:06:07 UTC,"Merch Drop involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
81,Product Giveaway,5058.00,Gift cards,75,,,2025-02-28 02:18:54 UTC,2025-03-22 09:18:21 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
82,Training Session,10655.00,Free apparel,53,,,2025-09-28 14:52:01 UTC,2025-10-10 04:18:31 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
83,Podcast Feature,1796.00,Brand gear,16,,,2025-09-19 11:51:59 UTC,2025-09-26 14:35:26 UTC,"Podcast Feature involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
84,Autograph Signing,3811.00,Performance bonus,22,,,2025-02-25 13:35:32 UTC,2025-08-25 23:57:07 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
85,Product Giveaway,3605.00,Performance bonus,84,,,2025-05-05 03:24:15 UTC,2025-06-06 18:31:12 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
86,Pop-Up Event,1285.00,Performance bonus,89,,,2025-09-26 06:29:35 UTC,2025-09-27 09:54:30 UTC,"Pop-Up Event involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
87,Product Giveaway,9559.00,Brand gear,43,,,2025-10-20 01:51:19 UTC,2025-10-31 20:12:58 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
88,Store Appearance,13005.00,Brand gear,43,,,2025-08-06 04:19:06 UTC,2025-11-15 04:28:18 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
89,Podcast Feature,1882.00,Free apparel,78,,,2025-06-12 18:00:55 UTC,2025-12-11 05:11:50 UTC,"Podcast Feature involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
90,Photo Shoot,4719.00,Free apparel,16,,,2025-12-05 01:11:09 UTC,2025-12-12 10:17:37 UTC,"Photo Shoot involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
91,Product Giveaway,12810.00,Performance bonus,65,,,2025-06-01 15:46:17 UTC,2025-08-17 08:36:24 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
92,Product Giveaway,13145.00,Gift cards,27,,,2025-12-14 00:09:43 UTC,2025-12-21 13:29:33 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
93,Product Giveaway,6558.00,Gift cards,5,,,2025-10-13 15:50:33 UTC,2025-12-06 11:32:00 UTC,"Product Giveaway involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
94,Store Appearance,3120.00,Free apparel,12,,,2025-03-08 02:09:11 UTC,2025-08-25 03:59:05 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
95,Social Media Campaign,11062.00,Brand gear,93,,,2025-01-25 04:20:07 UTC,2025-04-11 18:03:53 UTC,"Social Media Campaign involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
96,Video Shoutout,1201.00,Gift cards,14,,,2025-04-08 22:06:21 UTC,2025-12-26 18:35:05 UTC,"Video Shoutout involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Active
97,Autograph Signing,10875.00,Gift cards,74,,,2025-08-13 09:37:15 UTC,2025-10-28 07:17:50 UTC,"Autograph Signing involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled
98,Training Session,3553.00,Free apparel,14,,,2025-03-27 04:20:44 UTC,2025-06-10 21:35:51 UTC,"Training Session involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Pending
99,Store Appearance,8951.00,Gift cards,28,,,2025-03-02 09:27:30 UTC,2025-07-14 01:50:23 UTC,"Store Appearance involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Complete
100,Merch Drop,4591.00,Free travel and lodging,72,,,2025-08-12 16:36:29 UTC,2025-10-30 08:46:44 UTC,"Merch Drop involving athlete participation in brand promotion and community engagement. Full deliverables include social posts, product usage, and presence at event.",Cancelled